a,b,c,d,e,f
1.06963,0.928558,0.188,0.999991,-0.188,-1.87199
1.06889,0.928558,0.186,0.999991,-0.186,-1.88399
1.06815,0.928589,0.184,1.00001,-0.184,-1.89601
1.06741,0.928558,0.182,0.999991,-0.182,-1.90799
1.06667,0.928589,0.18,1.00001,-0.18,-1.92001
1.06593,0.928558,0.178,0.999991,-0.178,-1.93199
1.06519,0.928589,0.176,1.00001,-0.176,-1.94401
1.06444,0.928558,0.174,0.999991,-0.174,-1.95599
1.0637,0.928558,0.172,0.999991,-0.172,-1.96799
1.06296,0.928589,0.17,1.00001,-0.17,-1.98001
1.06222,0.928558,0.168,0.999991,-0.168,-1.99199
1.06148,0.928589,0.166,1.00001,-0.166,-2.00401
1.06074,0.928558,0.164,0.999991,-0.164,-2.01599
1.06,0.928589,0.162,1.00001,-0.162,-2.02801
1.05926,0.928558,0.16,0.999991,-0.16,-2.03999
1.05852,0.928558,0.158,0.999991,-0.158,-2.05199
1.05778,0.928589,0.156,1.00001,-0.156,-2.06401
1.05704,0.928558,0.154,0.999991,-0.154,-2.07599
1.0563,0.928589,0.152,1.00001,-0.152,-2.08801
1.05556,0.928558,0.15,0.999991,-0.15,-2.09999
1.05481,0.928589,0.148,1.00001,-0.148,-2.11201
1.05407,0.928558,0.146,0.999991,-0.146,-2.12399
1.05333,0.928558,0.144,0.999991,-0.144,-2.13599
1.05259,0.928589,0.142,1.00001,-0.142,-2.14801
1.05185,0.928558,0.14,0.999991,-0.14,-2.15999
1.05111,0.928589,0.138,1.00001,-0.138,-2.17201
1.05037,0.928558,0.136,0.999991,-0.136,-2.18399
1.04963,0.928589,0.134,1.00001,-0.134,-2.19601
1.04889,0.928558,0.132,0.999991,-0.132,-2.20799
1.04815,0.928558,0.13,0.999991,-0.13,-2.21999
1.04741,0.928589,0.128,1.00001,-0.128,-2.23201
1.04667,0.928558,0.126,0.999991,-0.126,-2.24399
1.04593,0.928589,0.124,1.00001,-0.124,-2.25601
1.04519,0.928558,0.122,0.999991,-0.122,-2.26799
1.04444,0.928589,0.12,1.00001,-0.12,-2.28001
1.0437,0.928558,0.118,0.999991,-0.118,-2.29199
1.04296,0.928558,0.116,0.999991,-0.116,-2.30399
1.04222,0.928589,0.114,1.00001,-0.114,-2.31601
1.04148,0.928558,0.112,0.999991,-0.112,-2.32799
1.04074,0.928589,0.11,1.00001,-0.11,-2.34001
1.04,0.928558,0.108,0.999991,-0.108,-2.35199
1.03926,0.928589,0.106,1.00001,-0.106,-2.36401
1.03852,0.928558,0.104,0.999991,-0.104,-2.37599
1.03778,0.928558,0.102,0.999991,-0.102,-2.38799
1.03704,0.928589,0.1,1.00001,-0.1,-2.40001
1.0363,0.928558,0.0980002,0.999991,-0.098,-2.41199
1.03556,0.928589,0.0960001,1.00001,-0.096,-2.42401
1.03481,0.928558,0.0940001,0.999991,-0.094,-2.43599
1.03407,0.928589,0.092,1.00001,-0.092,-2.44801
1.03333,0.928558,0.0899999,0.999991,-0.09,-2.46
1.03259,0.928558,0.0879998,0.999991,-0.088,-2.472
1.03185,0.928589,0.0860001,1.00001,-0.086,-2.48401
1.03111,0.928558,0.084,0.999991,-0.084,-2.496
1.03037,0.928589,0.0820003,1.00001,-0.082,-2.50801
1.02963,0.928558,0.0800002,0.999991,-0.08,-2.51999
1.02889,0.928589,0.0780001,1.00001,-0.078,-2.53201
1.02815,0.928558,0.0760001,0.999991,-0.076,-2.544
1.02741,0.928558,0.074,0.999991,-0.074,-2.556
1.02667,0.928589,0.0719999,1.00001,-0.072,-2.56801
1.02593,0.928558,0.0700002,0.999991,-0.07,-2.58
1.02519,0.928589,0.0680001,1.00001,-0.068,-2.592
1.02444,0.928558,0.066,0.999991,-0.066,-2.604
1.0237,0.928589,0.0640003,1.00001,-0.064,-2.616
1.02296,0.928558,0.0620002,0.999991,-0.062,-2.628
1.02222,0.928558,0.0600002,0.999991,-0.06,-2.64
1.02148,0.928589,0.0580001,1.00001,-0.058,-2.652
1.02074,0.928558,0.056,0.999991,-0.056,-2.664
1.02,0.928589,0.0539999,1.00001,-0.054,-2.676
1.01926,0.928558,0.0520002,0.999991,-0.052,-2.688
1.01852,0.928589,0.0500001,1.00001,-0.05,-2.7
1.01778,0.928558,0.0480001,0.999991,-0.048,-2.712
1.01704,0.928558,0.0460003,0.999991,-0.046,-2.724
1.0163,0.928589,0.0440002,1.00001,-0.044,-2.736
1.01556,0.928558,0.0420002,0.999991,-0.042,-2.748
1.01481,0.928589,0.0400001,1.00001,-0.04,-2.76
1.01407,0.928558,0.038,0.999991,-0.038,-2.772
1.01333,0.928589,0.036,1.00001,-0.036,-2.784
1.01259,0.928558,0.0340002,0.999991,-0.034,-2.796
1.01185,0.928558,0.0320002,0.999991,-0.032,-2.808
1.01111,0.928589,0.0300001,1.00001,-0.03,-2.82
1.01037,0.928558,0.028,0.999991,-0.028,-2.832
1.00963,0.928589,0.0260003,1.00001,-0.026,-2.844
1.00889,0.928558,0.0240002,0.999991,-0.024,-2.856
1.00815,0.928589,0.0220001,1.00001,-0.022,-2.868
1.00741,0.928558,0.0200001,0.999991,-0.02,-2.88
1.00667,0.928558,0.018,0.999991,-0.018,-2.892
1.00593,0.928589,0.0160002,1.00001,-0.016,-2.904
1.00519,0.928558,0.0140002,0.999991,-0.014,-2.916
1.00444,0.928589,0.0120001,1.00001,-0.012,-2.928
